entry_date	entry_time	exit_time	direction	entry_price	exit_price	tdo	stop_price	contracts	pnl	exit_type	divergence_bar	entry_bar	stop_bar_wick_pts	reentry_sequence	prior_trade_bars_held	entry_bar_body_ratio	smt_sweep_pts	smt_miss_pts	bars_since_divergence	matches_hypothesis	session_direction	entry_matches_session
2025-03-12	09:43	09:45	short	19709.5	19669.0	19696.5	19669.0	4	324.0	exit_stop	3	43	14.25	1	0	0.677	0.75	0.25	40	True	short	True
2025-03-18	09:10	09:11	short	19705.75	19710.5625	19692.0	19710.5625	4	-38.5	exit_stop	7	10	1.75	1	0	0.6111	0.5	4.0	3	True	short	True
2025-03-19	09:33	09:35	short	19597.75	19564.25	19585.0	19564.25	4	268.0	exit_stop	29	33	18.0	1	0	0.0309	2.75	0.5	4	False	long	False
2025-03-19	10:53	10:54	short	19597.75	19602.2125	19585.0	19602.2125	4	-35.7	exit_stop	47	113	10.0	2	2	0.8222	1.5	18.75	66	False	long	False
2025-03-21	09:22	09:23	long	19648.75	19645.6	19657.75	19645.6	4	-25.2	exit_stop	11	22	2.75	1	0	0.22	1.0	0.25	11	True	long	True
2025-03-24	09:36	09:38	long	20248.25	20288.75	20256.25	20288.75	4	324.0	exit_stop	16	36	19.25	1	0	0.6353	0.25	1.25	20	False	short	False
2025-03-25	09:44	09:45	long	20394.0	20391.375	20401.5	20391.375	4	-21.0	exit_stop	35	44	11.5	1	0	0.7037	3.5	0.75	9	False	short	False
2025-03-27	09:49	09:51	long	20015.5	20037.25	20028.75	20037.25	4	174.0	exit_stop	13	49	1.0	1	0	0.7273	0.25	3.25	36	True	long	True
2025-04-01	09:17	09:20	short	19394.5	19399.4	19380.5	19399.4	4	-39.2	exit_stop	5	17	0.25	1	0	0.1707	0.5	5.0	12	True	short	True
2025-04-01	09:36	09:37	long	19370.0	19366.325	19380.5	19366.325	4	-29.4	exit_stop	31	36	4.75	2	3	0.9134	3.5	4.75	5	False	short	False
2025-04-01	10:02	10:04	long	19368.0	19406.5	19380.5	19406.5	4	308.0	exit_stop	43	62	4.5	3	1	0.2364	2.0	22.0	19	False	short	False
2025-04-01	10:36	10:37	long	19366.0	19360.925	19380.5	19360.925	4	-40.6	exit_stop	66	96	8.25	4	2	0.6078	3.25	19.25	30	False	short	False
2025-04-03	13:07	13:08	long	18911.25	18906.875	18923.75	18906.875	4	-35.0	exit_stop	64	247	1.0	1	0	0.7606	1.25	75.25	183	True	long	True
2025-04-04	09:52	09:54	long	18144.5	18195.0	18153.0	18195.0	4	404.0	exit_stop	35	52	9.75	1	0	0.5135	1.0	10.75	17	True	long	True
2025-04-08	10:56	10:58	short	18163.5	18126.0	18149.0	18126.0	4	300.0	exit_stop	7	116	13.25	1	0	0.5096	2.0	7.5	109	True	short	True
2025-04-10	10:42	10:43	long	18778.0	18773.45	18791.0	18773.45	4	-36.4	exit_stop	14	102	0.75	1	0	0.4762	1.25	0.5	88	False	short	False
2025-04-14	09:26	09:27	short	19242.25	19245.575	19232.75	19245.575	4	-26.6	exit_stop	15	26	1.5	1	0	0.1667	1.0	5.75	11	True	short	True
2025-04-15	10:39	10:41	short	18997.75	18980.0	18987.0	18980.0	4	142.0	exit_stop	2	99	0.25	1	0	0.3974	0.25	0.0	97	True	short	True
2025-04-16	09:57	09:58	long	18573.75	18569.9	18584.75	18569.9	4	-30.8	exit_stop	17	57	0.0	1	0	0.8804	0.25	1.75	40	True	long	True
2025-04-17	09:09	09:10	long	18489.75	18486.6875	18498.5	18486.6875	4	-24.5	exit_stop	7	9	7.5	1	0	0.4	1.0	3.0	2	True	long	True
